Time,Tag,Flow
1618788138.2015376,,"227805168, -0.05, 0.00, 24.92, 25.12
"
1618788138.211537,,"227808212, -0.05, -0.03, 24.92, 25.12
"
1618788138.211537,,"227811288, -0.05, -0.02, 24.92, 25.15
"
1618788138.211537,,"227814364, -0.05, -0.05, 24.92, 25.15
"
1618788138.2215374,,"227817444, -0.03, 0.00, 24.92, 25.15
"
1618788138.2215374,,"227820488, 0.00, 0.00, 24.92, 25.13
"
1618788138.2215374,,"227823488, -0.07, 0.03, 24.92, 25.13
"
1618788138.2215374,,"227826560, -0.05, 0.03, 24.92, 25.12
"
1618788138.2315507,,"227829636, -0.02, 0.02, 24.84, 25.12
"
1618788138.2315507,,"227832704, -0.03, -0.02, 24.84, 25.12
"
1618788138.2315507,,"227835780, -0.05, -0.02, 24.84, 25.08
"
1618788138.2428591,,"227838852, -0.07, 0.00, 24.92, 25.08
"
1618788138.2428591,,"227841888, 0.02, -0.03, 24.92, 25.08
"
1618788138.2428591,,"227844944, -0.02, -0.07, 24.92, 25.13
"
1618788138.2428591,,"227848024, -0.02, -0.02, 24.87, 25.13
"
1618788138.2528627,,"227851096, -0.05, -0.05, 24.87, 25.08
"
1618788138.2528627,,"227854164, -0.05, -0.05, 24.87, 25.08
"
1618788138.2528627,,"227857232, -0.03, -0.02, 24.88, 25.08
"
1618788138.2628624,,"227860296, -0.03, -0.03, 24.88, 25.10
"
1618788138.2628624,,"227863372, 0.00, -0.02, 24.88, 25.10
"
1618788138.2628624,,"227866404, -0.05, -0.03, 24.89, 25.13
"
1618788138.272863,,"227869480, -0.02, -0.02, 24.89, 25.13
"
1618788138.2759373,,"227872552, -0.02, -0.02, 24.89, 25.13
"
1618788138.2789295,,"227875628, -0.03, -0.02, 24.92, 25.12
"
1618788138.2813196,,"227878708, -0.05, -0.02, 24.92, 25.12
"
1618788138.2813196,,"227881788, -0.02, 0.00, 24.92, 25.10
"
1618788138.2813196,,"227884828, -0.05, -0.05, 24.90, 25.10
"
1618788138.291319,,"227887904, -0.03, -0.02, 24.90, 25.10
"
1618788138.291319,,"227890980, -0.02, 0.00, 24.90, 25.06
"
