Time,Tag,Flow
1618887237.7574317,,"9085008, -0.0333, -0.0333, 24.94, 25.00
"
1618887237.762419,,"9090004, -0.0500, 0.0167, 24.93, 25.00
"
1618887237.7674057,,"9095008, -0.0167, 0.0333, 24.93, 25.00
"
1618887237.7723923,,"9100008, 0.0333, -0.0833, 24.91, 24.94
"
1618887237.7773795,,"9105004, 0.0667, -0.0667, 24.90, 25.00
"
1618887237.782366,,"9110004, -0.0167, -0.0333, 24.92, 24.98
"
1618887237.787353,,"9115000, -0.0500, -0.0167, 24.92, 24.98
"
1618887237.7923403,,"9120008, 0.0667, 0.0167, 24.94, 24.94
"
1618887237.7973301,,"9125008, -0.0167, -0.0500, 24.95, 24.98
"
1618887237.8023138,,"9130004, -0.0333, 0.0500, 24.92, 24.98
"
1618887237.8073006,,"9135000, -0.0167, -0.0333, 24.92, 25.00
"
1618887237.812287,,"9140008, -0.0333, -0.0500, 24.93, 24.96
"
1618887237.8172736,,"9145004, 0.0167, -0.1000, 24.92, 24.98
"
1618887237.8222616,,"9150000, -0.0667, -0.0167, 24.92, 24.98
"
1618887237.8272474,,"9155008, -0.0500, -0.0167, 24.90, 25.01
"
1618887237.8322344,,"9160008, -0.0500, 0.0000, 24.92, 24.98
"
1618887237.8372216,,"9165004, -0.0333, -0.0167, 24.92, 24.98
"
1618887237.842209,,"9170004, 0.0667, -0.0167, 24.92, 25.00
"
1618887237.8471959,,"9175004, 0.0000, 0.0000, 24.90, 25.00
"
1618887237.8521829,,"9180000, -0.0167, -0.0333, 24.94, 24.94
"
1618887237.857169,,"9185008, -0.0333, -0.0167, 24.95, 24.94
"
1618887237.8621554,,"9190004, 0.0333, -0.0500, 24.95, 24.96
"
1618887237.8671432,,"9195000, -0.0333, -0.0167, 24.92, 24.96
"
1618887237.8721309,,"9200008, -0.0167, 0.0333, 24.92, 24.96
"
1618887237.8771172,,"9205008, 0.0167, 0.0000, 24.92, 24.96
"
