Time,Tag,Flow
1618887388.037987,,"14885004, 0.0000, 0.0000, 25.02, 25.08
"
1618887388.037987,,"14890000, 0.0000, -0.0333, 25.02, 25.09
"
1618887388.0479686,,"14895004, -0.0333, -0.0333, 25.02, 25.09
"
1618887388.0479686,,"14900008, 0.0000, -0.0833, 25.00, 25.09
"
1618887388.056976,,"14905008, -0.0167, -0.0333, 25.00, 25.07
"
1618887388.056976,,"14910004, 0.0333, -0.0167, 25.00, 25.07
"
1618887388.0669813,,"14915000, -0.0167, 0.0500, 25.01, 25.09
"
1618887388.0669813,,"14920008, 0.0000, 0.0000, 25.00, 25.08
"
1618887388.0770156,,"14925008, 0.0000, -0.0333, 25.00, 25.07
"
1618887388.0770156,,"14930000, 0.0000, -0.0167, 25.03, 25.07
"
1618887388.086981,,"14935008, -0.0167, -0.0500, 25.00, 25.04
"
1618887388.086981,,"14940008, -0.0333, -0.0500, 25.03, 25.06
"
1618887388.096981,,"14945000, -0.0167, -0.0167, 25.03, 25.06
"
1618887388.096981,,"14950004, -0.0333, 0.0167, 25.01, 25.07
"
1618887388.1069937,,"14955008, -0.0167, -0.0167, 25.03, 25.04
"
1618887388.1069937,,"14960000, 0.0333, -0.0167, 25.00, 25.05
"
1618887388.116991,,"14965004, -0.0167, -0.0167, 25.00, 25.05
"
1618887388.116991,,"14970004, -0.0333, -0.0667, 24.97, 25.08
"
1618887388.1269834,,"14975000, 0.0167, -0.0167, 25.00, 25.02
"
1618887388.1269834,,"14980000, 0.0000, -0.0500, 25.00, 25.02
"
1618887388.1369824,,"14985004, -0.0500, -0.0167, 25.00, 25.06
"
1618887388.1369824,,"14990000, 0.0000, 0.0000, 25.04, 25.06
"
1618887388.1469827,,"14995008, -0.0167, 0.0167, 25.03, 25.08
"
1618887388.1469827,,"15000004, -0.0333, 0.0000, 25.03, 25.08
"
1618887388.1569834,,"15005008, -0.0333, -0.0667, 25.01, 25.07
"
1618887388.1569834,,"15010000, 0.0500, -0.0500, 25.00, 25.09
"
1618887388.1669827,,"15015000, 0.0167, -0.0333, 25.02, 25.09
"
1618887388.1669827,,"15020004, 0.0167, -0.0500, 25.02, 25.08
"
1618887388.1781783,,"15025004, -0.0500, -0.0167, 25.01, 25.05
"
1618887388.1781783,,"15030000, -0.0167, -0.0333, 25.02, 25.10
"
1618887388.1881814,,"15035004, 0.0500, 0.0000, 25.02, 25.10
"
1618887388.1881814,,"15040000, 0.0000, 0.0333, 24.98, 25.11
"
1618887388.1981819,,"15045000, 0.0000, -0.0167, 25.00, 25.08
"
1618887388.1981819,,"15050000, 0.0500, -0.0333, 25.00, 25.08
"
1618887388.2082155,,"15055000, 0.0000, -0.0333, 25.00, 25.10
"
1618887388.2082155,,"15060004, -0.0667, -0.0500, 25.02, 25.06
"
1618887388.2181823,,"15065000, 0.0167, 0.0000, 24.97, 25.08
"
1618887388.2181823,,"15070008, 0.0000, -0.0667, 25.00, 25.08
"
1618887388.2281828,,"15075008, -0.0500, 0.0167, 25.00, 25.07
"
1618887388.2281828,,"15080000, -0.0167, -0.0667, 25.02, 25.05
"
1618887388.2381835,,"15085000, 0.0500, -0.0500, 25.00, 25.05
"
1618887388.2381835,,"15090008, -0.0333, -0.0167, 25.00, 25.06
"
1618887388.2482026,,"15095004, -0.0167, 0.0000, 25.04, 25.08
"
1618887388.2482026,,"15100000, -0.0333, -0.0500, 25.01, 25.08
"
1618887388.257211,,"15105004, -0.0167, -0.0667, 25.02, 25.05
"
1618887388.257211,,"15110008, 0.0167, -0.0500, 25.02, 25.08
"
1618887388.2695076,,"15115000, 0.0167, -0.0333, 25.02, 25.08
"
