Time,Tag,Flow
1618788092.3662827,,"181835240, -0.05, 0.00, 24.75, 25.06
"
1618788092.3662827,,"181838276, -0.03, -0.03, 24.75, 25.01
"
1618788092.3762665,,"181841348, -0.07, -0.03, 24.75, 25.01
"
1618788092.3762665,,"181844424, -0.03, -0.03, 24.76, 25.01
"
1618788092.3762665,,"181847496, 0.02, 0.02, 24.76, 25.04
"
1618788092.3862736,,"181850548, -0.05, 0.00, 24.76, 25.04
"
1618788092.3862736,,"181853584, -0.02, -0.02, 24.73, 25.00
"
1618788092.3862736,,"181856640, -0.03, -0.02, 24.73, 25.00
"
1618788092.3962636,,"181859696, -0.03, 0.00, 24.73, 25.00
"
1618788092.3962636,,"181862720, 0.00, -0.02, 24.77, 25.05
"
1618788092.3962636,,"181865744, -0.03, -0.02, 24.77, 25.05
"
1618788092.406264,,"181868812, -0.03, -0.03, 24.77, 25.05
"
1618788092.406264,,"181871880, -0.08, -0.07, 24.76, 25.08
"
1618788092.406264,,"181874952, -0.05, -0.05, 24.76, 25.08
"
1618788092.406264,,"181878020, -0.02, 0.00, 24.76, 25.07
"
1618788092.416263,,"181881044, -0.03, 0.02, 24.75, 25.07
"
1618788092.416263,,"181884116, -0.05, -0.02, 24.75, 25.07
"
1618788092.416263,,"181887192, -0.03, -0.02, 24.75, 25.04
"
1618788092.4262717,,"181890268, -0.05, -0.03, 24.77, 25.04
"
1618788092.4262717,,"181893344, -0.03, -0.02, 24.77, 25.08
"
1618788092.4262717,,"181896416, 0.00, -0.02, 24.77, 25.08
"
1618788092.4362974,,"181899444, -0.02, 0.00, 24.75, 25.08
"
1618788092.4362974,,"181902476, -0.03, -0.02, 24.75, 25.02
"
1618788092.4362974,,"181905548, -0.03, -0.03, 24.75, 25.02
"
1618788092.4362974,,"181908616, -0.03, -0.02, 24.73, 25.03
"
1618788092.4462655,,"181911688, 0.02, 0.02, 24.73, 25.03
"
1618788092.4462655,,"181914744, -0.02, -0.02, 24.73, 25.03
"
1618788092.4462655,,"181917816, -0.05, 0.00, 24.77, 25.01
"
1618788092.4563081,,"181920852, -0.08, -0.03, 24.77, 25.01
"
1618788092.4563081,,"181923924, -0.02, 0.02, 24.77, 25.01
"
1618788092.4563081,,"181926992, -0.03, 0.00, 24.78, 25.09
"
1618788092.4662666,,"181930024, -0.03, 0.02, 24.78, 25.09
"
1618788092.4662666,,"181933084, -0.02, -0.02, 24.78, 25.02
"
1618788092.4662666,,"181936156, -0.03, -0.02, 24.75, 25.02
"
1618788092.4763026,,"181939224, -0.05, -0.05, 24.75, 25.02
"
1618788092.477309,,"181942292, -0.03, 0.02, 24.75, 25.03
"
1618788092.477309,,"181945360, -0.03, 0.02, 24.75, 25.03
"
1618788092.477309,,"181948424, 0.00, 0.02, 24.75, 25.05
"
1618788092.487328,,"181951436, -0.03, 0.00, 24.75, 25.05
"
1618788092.487328,,"181954472, -0.03, -0.05, 24.77, 25.05
"
1618788092.487328,,"181957544, -0.05, -0.02, 24.77, 25.07
"
1618788092.4973397,,"181960616, -0.02, -0.03, 24.77, 25.07
"
1618788092.4973397,,"181963684, -0.03, -0.02, 24.75, 25.07
"
1618788092.4973397,,"181966756, -0.02, -0.03, 24.75, 25.07
"
1618788092.4973397,,"181969824, -0.03, -0.05, 24.75, 25.07
"
1618788092.5073144,,"181972896, -0.05, -0.02, 24.71, 25.02
"
1618788092.5073144,,"181975968, -0.05, -0.02, 24.71, 25.02
"
1618788092.5073144,,"181979044, -0.03, -0.02, 24.71, 25.02
"
1618788092.5173125,,"181982116, 0.00, 0.02, 24.74, 25.07
"
1618788092.5173125,,"181985136, 0.02, -0.03, 24.74, 25.07
"
1618788092.5173125,,"181988196, -0.03, 0.00, 24.74, 25.07
"
1618788092.5273452,,"181991232, -0.03, 0.00, 24.77, 25.04
"
1618788092.5273452,,"181994268, -0.05, -0.02, 24.77, 25.04
"
1618788092.5273452,,"181997336, -0.02, -0.02, 24.77, 25.04
"
1618788092.5363529,,"182000408, -0.05, -0.02, 24.77, 25.04
"
1618788092.5363529,,"182003480, -0.02, -0.03, 24.77, 25.04
"
1618788092.5363529,,"182006548, -0.03, -0.05, 24.77, 25.05
"
1618788092.5463583,,"182009620, -0.03, -0.02, 24.76, 25.05
"
1618788092.5463583,,"182012692, -0.03, 0.02, 24.76, 25.04
"
1618788092.5463583,,"182015756, -0.05, -0.03, 24.76, 25.04
"
1618788092.5463583,,"182018832, -0.03, 0.00, 24.75, 25.04
"
1618788092.5563576,,"182021864, -0.05, -0.03, 24.75, 25.05
"
1618788092.5563576,,"182024936, -0.02, 0.00, 24.75, 25.05
"
1618788092.5563576,,"182027972, -0.03, 0.02, 24.76, 25.05
"
1618788092.566358,,"182031036, 0.02, -0.02, 24.76, 25.06
"
1618788092.566358,,"182034092, -0.05, -0.03, 24.76, 25.06
"
1618788092.566358,,"182037164, -0.05, 0.02, 24.76, 25.03
"
1618788092.5763576,,"182040232, -0.02, 0.02, 24.76, 25.03
"
1618788092.5763576,,"182043296, -0.03, 0.00, 24.76, 25.03
"
1618788092.5763576,,"182046332, 0.02, -0.02, 24.76, 25.03
"
1618788092.586358,,"182049392, -0.03, 0.00, 24.76, 25.03
"
1618788092.586358,,"182052428, -0.03, -0.02, 24.76, 25.05
"
1618788092.586358,,"182055496, -0.02, -0.03, 24.76, 25.05
"
1618788092.586358,,"182058568, -0.02, -0.02, 24.76, 25.05
"
1618788092.596357,,"182061636, -0.02, -0.05, 24.76, 25.05
"
1618788092.596357,,"182064708, -0.03, -0.03, 24.77, 25.05
"
1618788092.596357,,"182067780, -0.05, -0.02, 24.77, 25.05
"
1618788092.6063573,,"182070848, -0.03, 0.00, 24.77, 25.05
"
1618788092.6063573,,"182073884, 0.00, 0.02, 24.76, 25.05
"
1618788092.6063573,,"182076904, -0.03, -0.02, 24.76, 25.01
"
1618788092.6163776,,"182079976, -0.03, 0.00, 24.76, 25.01
"
1618788092.6163776,,"182083016, -0.02, -0.02, 24.77, 25.01
"
1618788092.6163776,,"182086088, -0.03, -0.02, 24.77, 25.05
"
1618788092.6163776,,"182089156, 0.00, -0.03, 24.77, 25.05
"
1618788092.626359,,"182092184, -0.03, -0.02, 24.77, 25.03
"
1618788092.626359,,"182095256, -0.02, -0.03, 24.77, 25.03
"
1618788092.626359,,"182098328, -0.05, -0.02, 24.77, 25.03
"
1618788092.6363583,,"182101400, -0.02, 0.02, 24.79, 25.04
"
1618788092.6363583,,"182104464, -0.03, 0.02, 24.79, 25.04
"
1618788092.6363583,,"182107528, -0.03, -0.02, 24.79, 25.04
"
1618788092.6463587,,"182110596, -0.02, -0.02, 24.75, 25.06
"
